                   FRB20180725A      FRB20180727A       FRB20180729A      FRB20180729B      FRB20180730A  ...      FRB20190701A      FRB20190701B      FRB20190701C      FRB20190701D      FRB20190701E
tns_name            FRB20180725A      FRB20180727A       FRB20180729A      FRB20180729B      FRB20180730A  ...      FRB20190701A      FRB20190701B      FRB20190701C      FRB20190701D      FRB20190701E
previous_name    180725.J0613+67   180727.J1311+26    180729.J1316+55   180729.J0558+56   180730.J0353+87  ...             -9999             -9999             -9999             -9999             -9999
repeater_name              -9999             -9999              -9999             -9999             -9999  ...             -9999             -9999             -9999             -9999             -9999
ra                        93.420            197.72             199.40             89.93            57.390  ...            277.47            302.93             96.36            112.10            138.57
ra_err                     0.039              0.13               0.12              0.27             0.032  ...              0.21              0.22              0.23              0.18              0.19
ra_notes                   -9999             -9999              -9999             -9999             -9999  ...             -9999             -9999             -9999             -9999             -9999
dec                        67.07             26.42             55.580             56.50             87.19  ...             59.04             80.18             81.63             66.70            61.710
dec_err                     0.21              0.26              0.084              0.24              0.20  ...              0.22              0.24              0.27              0.16             0.036
dec_notes                  -9999             -9999              -9999             -9999             -9999  ...             -9999             -9999             -9999             -9999             -9999
gl                        147.29             24.76             115.26             156.9            125.11  ...             88.29            112.88            132.18            149.28            153.27
gb                         21.29              85.6              61.16             15.68             25.11  ...             25.72              23.4             25.88             28.38             40.37
exp_up                        30              10.4                 21                21               270  ...                23                69                82                34                15
exp_up_err                    18               7.1                 11                12               110  ...                14                38                44                15                14
exp_up_notes               -9999             -9999              -9999             -9999             -9999  ...             -9999             -9999             -9999             -9999             -9999
exp_low                    -9999             -9999              -9999             -9999               214  ...             -9999                70                82             -9999             -9999
exp_low_err                -9999             -9999              -9999             -9999                99  ...             -9999                33                43             -9999             -9999
exp_low_notes              -9999             -9999              -9999             -9999             -9999  ...             -9999             -9999             -9999             -9999             -9999
bonsai_snr                  19.2              10.4                 32              12.4              69.5  ...              12.1                15              11.5              34.4              15.2
bonsai_dm                  716.6             642.1              108.4             318.6             849.2  ...             635.7             748.9             972.1             934.9             888.0
low_ft_68                      0                 0                  0                 0               3.3  ...                 0               5.1               9.5                 0                 0
up_ft_68                     2.7               1.9                4.6               0.9               2.3  ...               1.8               1.7               3.5               3.4               1.3
low_ft_95                      0                 0                  0                 0               6.1  ...                 0               9.6              20.3                 0                 0
up_ft_95                     5.0               3.1                8.6               1.7               4.4  ...               3.0               3.3               7.5               6.3               2.3
snr_fitb                    33.2              12.2              206.6                22              89.8  ...              14.6              17.5              16.8              44.8              16.7
dm_fitb                 715.8093           642.134          109.59418          317.2235          848.9041  ...          637.0934           749.114           974.195          933.3629          890.4771
dm_fitb_err               0.0041             0.015            0.00031            0.0045            0.0018  ...            0.0036             0.011             0.029            0.0097            0.0081
dm_exc_ne2001              644.2             620.9               78.8             223.2             789.7  ...             582.8             687.6             915.8             877.4             848.1
dm_exc_ymw16               635.4             622.4               86.8             198.8             790.5  ...             587.8             688.1             916.6             879.4             857.0
bc_width                 0.00295           0.00295            0.00098           0.00197           0.00492  ...           0.00197           0.00295           0.00197           0.00885           0.00295
scat_time                0.00110           <0.0017          0.0001574           0.00066          0.002073  ...          <0.00072           0.00034           <0.0018           0.00153           0.00067
scat_time_err            0.00032             -9999          0.0000036           0.00018          0.000074  ...             -9999           0.00011             -9999           0.00020           0.00015
flux                         1.7              0.58               11.7              0.92               5.2  ...              1.26              1.10              0.88              1.33              0.68
flux_err                     1.0              0.31                6.8              0.59               2.8  ...              0.25              0.49              0.50              0.67              0.28
