FRB_name ra ra_err dec dec_err DM_obs DM_obs_err z z_err class subClass catalog
FRB20180727A 197.71532456643487 0.13 26.424586300686634 0.26 642.134 0.015 0.5465867657618182 0.0001013456995535 GALAXY -- DESI
FRB20180923D 169.072551700868 0.02 48.7498107509274 0.07 329.3996 0.002 0.5795029 0.0001455476 GALAXY -- SDSS
FRB20181213B 183.50825318497732 0.22 53.70589204014342 0.23 626.593 0.015 0.3518012872730877 6.999045729119784e-05 GALAXY -- DESI
FRB20181214D 178.564413065268 0.2 46.7096046254112 0.19 1177.319 0.018 0.5600829 0.0001353111 GALAXY -- SDSS
FRB20190103D 221.834216769352 0.24 59.9142937060237 0.24 1913.5509 0.0086 0.4062235 8.317151e-05 GALAXY -- SDSS
FRB20190202B 114.3124837668115 0.039 32.44095951260587 0.18 464.906 0.0022 0.216271073538862 3.678469522856459e-05 GALAXY -- DESI
FRB20190208C 141.55941189012552 0.037 83.55215339140736 0.22 238.3921 0.0024 0.1578435629879961 8.57692443485195e-05 GALAXY -- DESI
FRB20190212B 139.986572018988 0.18 52.1139956432823 0.17 600.1866 0.0028 0.2179578 2.123353e-05 GALAXY STARFORMING SDSS
FRB20190222C 239.178831511542 0.04 40.0297832879983 0.19 524.0071 0.0066 0.1968642 2.981015e-05 GALAXY -- SDSS
FRB20190409D 336.639678570353 0.23 26.9475921469309 0.21 1300.118 0.011 0.9097556 0.0003491525 QSO -- SDSS
FRB20190601A 190.13395145420645 0.21 62.71453765461305 0.21 2227.891 0.012 1.0014537468503115 2.5299423743713237e-05 GALAXY -- DESI
FRB20190604E 235.59383381093815 0.21 32.04889441601371 0.21 1218.5965 0.0077 1.4563522095335706 0.0002256494769795 GALAXY -- DESI
FRB20190617C 134.372163309526 0.21 35.6961268906363 0.21 640.156 0.023 0.4599963 0.0001716832 GALAXY -- SDSS
FRB190608 334.020419873775 nan -7.89888531358588 nan 338.7 0.5 0.1177805 8.258504e-06 GALAXY STARFORMING SDSS
FRB190303.J1353+48 208.248038499175 nan 48.2505341869714 nan 222.4 0.2 0.1674173 3.399929e-05 GALAXY -- SDSS
FRB190116.J1249+27 192.25162758980275 nan 27.14665908894447 nan 444.0 0.6 0.1782063972888052 3.299091467587278e-05 GALAXY -- DESI
FRB180525 220.00983406542 nan -2.206571903821818 nan 388.1 0.3 0.7851748424251423 0.0001017348937592 GALAXY -- DESI
FRB151125 22.753599766924985 nan 30.97503426057 nan 273.0 4.0 0.6449233164157941 5.560519316062649e-05 GALAXY -- DESI
